,Metabolite,VIP_Score
1,Butyryl-L-carnitine,1.735400436
2,Ecdysone,1.742394411
3,Epiandrosterone,1.742776448
4,Phenylacetylglycine,1.77612589
5,"9,10-DHOME",1.798494663
6,Carnosol,1.806376199
7,DNOC,1.829586704
8,(R)C(S)S-Alliin,1.83209544
9,Ecgonine methyl ester,1.835216844
10,4-Fluoro-L-threonine,1.844097738
11,Lenticin,1.853300419
12,Yohimbine,1.866351625
13,Indolebutyric acid,1.923577807
14,"1,3-Dihydro-(2H)-indol-2-one",1.947771605
15,Lithocholic acid glycine conjugate,2.081592232
16,Pyridoxine,2.085522724
17,Beta-Tyrosine,2.091574265
18,Maslinic acid,2.145020624
19,Mesobilirubinogen,2.14803199
20,"N1,N12-Diacetylspermine",2.303821405
21,2-(Methylamino)benzoic acid,2.331679081
22,p-Cresol,2.367872595
23,L-Glutamic acid 5-phosphate,2.571659303
24,Pyridoxine 5'-phosphate,2.597380157
25,D-Ribulose 5-phosphate,2.686100334
26,Xylulose 5-phosphate,2.705864041
27,Quinolin-2-ol,2.983889949
28,Phenylacetylglutamine,3.066131014
29,gamma-Glutamyltyramine,3.13424045
30,Isoniazid alpha-ketoglutaric acid,3.165287493
