,C,L,E,Y,L+E+Y,HC,FC
g__Achromobacter,1.14E-45,1.09E-34,0.01968648,0.014155302,1.69E-27,1.71E-24,2.74E-20
g__Sphingomonas,1.13E-22,4.16E-17,0.101837601,0.035751369,5.85E-19,8.84E-11,5.14E-11
g__Enhydrobacter,7.81E-13,1.13E-08,0.09106811,0.177270039,5.56E-14,6.12E-05,2.59E-08
g__Escherichia-Shigella,2.94E-09,8.03E-08,0.145416951,0.347973518,1.19E-11,0.001791774,1.55E-06
g__Neisseria,0.999489807,0.393340581,1.50E-10,8.81E-07,4.60E-05,0.431715432,0.442628533
g__Lautropia,0.92976745,0.007799946,0.050807565,0.026549967,2.93E-05,0.718837752,0.442628533
g__Abiotrophia,0.172159699,0.554217576,0.029703885,0.177427351,0.001101291,0.285100103,0.442628533
g__Haemophilus,0.380695667,0.181993382,4.11E-07,0.328900101,0.772249111,0.285100103,0.847180619
g__Porphyromonas,0.588160227,0.007626767,0.015000173,0.727405593,0.495690036,0.54989166,0.69642791
g__Granulicatella,0.000186231,0.031480745,0.005087326,0.33391936,0.881397876,0.001791774,0.083873955
g__norank_f__norank_o__Clostridia_UCG-014,0.92976745,0.181993382,0.042279246,0.779047559,0.014116522,0.880362696,0.442628533
g__Lactobacillus,0.92976745,0.393340581,0.016220482,0.35697653,0.787028332,0.462840946,0.442628533
g__Leptotrichia,0.134084719,0.181993382,0.063393768,0.773682354,0.017264999,0.54989166,0.165569023
g__Rothia,0.132445226,0.008725432,0.595146971,0.591346691,0.014380606,0.06815489,0.603309704
g__Gemella,0.012633066,0.00318551,0.358498295,0.123711257,0.00039156,0.037604733,0.442628533
g__Peptostreptococcus,0.868116047,0.000811691,0.323738485,0.049289154,0.000369277,0.880362696,0.538774869
g__Eubacterium_nodatum_group,0.565195779,0.000377371,0.09106811,0.107448452,0.00039156,0.462840946,0.908491015
g__Actinomyces,0.04768111,0.003183183,0.006507285,0.347973518,1.61E-05,0.236416076,0.278951336
g__Prevotella,0.000623361,8.03E-08,0.005087326,0.049289154,1.38E-11,0.049168751,0.03339635
