ID,C,L,E,Y
M160T295,251795.02,270497.2913,896447.94,2240456.91
M175T511,482487.47,573064.833,1287253.58,749876.75
M145T585,1855246.88,1962486.954,4505106.23,5634131.7
M156T781,16233107.45,17776076.56,14343156.28,55654704.16
M170T399,10337829.15,12217406.9,9845187.57,7603938.43
M132T399,6717298.04,7705952.593,6133650.27,4572284.19
M176T94,2002808.32,1106670.719,2363875.46,2476955.19
M191T769,1818719.42,1425512.872,1628461.53,1206174.56
M220T298,86455.04,405365.7028,428967.14,219061.79
M204T444,1230388.71,785716.8043,642352,392186.96
M249T473,1712852.02,1729203.232,123527.29,2094806.41
M134T394,311928.81,253447.9594,98579.1,123987.43
M224T348,18685587.52,22379040.33,37606258.83,152172135.7
M118T401,9607026.51,10489879.48,10617430.18,10004936.64
M176T604,33762833.36,27291455.99,31875862.31,28677150.22
M204T698,1237793.85,795412.6535,750260.92,760645.4
M288T89_2,23950557.15,24602313.47,32537030.2,41889421.78
M206T552,22430669.19,25108396.16,18845948.88,14790001.35
M202T441,129504.46,213249.1674,251568.85,337388.21
M188T348,1282303.12,1047036.723,835057.78,710622.06
M205T334,53636.03,12499.41107,80115.15,262161.78
M209T337,82996858.09,68024204.83,45951160.92,25467857.47
M203T365,341574452,374750063.4,324569139.8,246007339.3
M190T732,1388570.91,1120322.133,471759.71,263717.24
M218T357,2801196.56,3441037.667,5281352.33,3131296.77
M124T144,3665414.15,5376791.256,9329783.62,4735281.67
M134T472,7729351.88,4010107.988,3797615.71,3711737.75
M167T72,31243869.66,30431190.61,28529238.46,19627555.37
M177T315,2696806.48,3821715.079,785281.33,232817.67
M204T321,68575.52,75513.90379,111487.11,156313.7
